timestamp,symbol,timeframe,signal,current_price,rsi,ema_20,ema_50,ema_200,atr
2026-05-14T13:39:05.216789,BTC/USD,6h,BUY,81574.05,56.96,80591.96,80066.17,76058.81,1057.84
2026-05-14T13:39:05.447287,SOL/USD,1h,SELL,93.26,61.03,91.95,92.56,91.96,0.88
2026-05-14T13:46:48.520965,BTC/USD,6h,BUY,81589.92,57.08,80593.47,80066.79,76058.97,1057.84
2026-05-14T13:46:48.787017,SOL/USD,1h,SELL,93.34,61.53,91.95,92.56,91.96,0.88
2026-05-14T14:03:49.872594,BTC/USD,6h,BUY,81682.8,57.74,80602.32,80070.43,76059.89,1061.93
2026-05-14T14:03:50.095067,SOL/USD,1h,SELL,93.49,62.48,92.11,92.6,91.98,0.83
2026-05-14T15:52:27.412714,BTC/USD,6h,BUY,81434.0,55.99,80578.63,80060.67,76057.41,1081.59
2026-05-14T15:52:27.596729,SOL/USD,1h,SELL,92.74,55.4,92.12,92.58,91.99,0.86
2026-05-15T11:40:02.604189,BTC/USD,6h,HOLD,79265.36,43.19,80413.66,80048.41,76097.44,1148.06
2026-05-15T11:40:04.036562,SOL/USD,1h,HOLD,89.6,38.25,90.76,91.65,91.81,0.81
2026-05-15T11:45:08.708298,BTC/USD,6h,HOLD,79241.71,43.07,80411.41,80047.48,76097.2,1148.06
2026-05-15T11:45:09.067304,SOL/USD,1h,HOLD,89.47,37.0,90.75,91.65,91.81,0.81
2026-05-15T11:50:13.427060,BTC/USD,6h,HOLD,79243.86,43.09,80411.61,80047.57,76097.22,1148.06
2026-05-15T11:50:13.642538,SOL/USD,1h,HOLD,89.43,36.6,90.75,91.65,91.81,0.81
2026-05-15T11:55:17.980195,BTC/USD,6h,HOLD,79205.79,42.91,80407.98,80046.07,76096.85,1148.06
2026-05-15T11:55:18.214502,SOL/USD,1h,HOLD,89.33,35.59,90.74,91.64,91.81,0.81
2026-05-15T12:00:22.707479,BTC/USD,6h,HOLD,79230.01,43.02,80410.29,80047.02,76097.09,1148.06
2026-05-15T12:00:22.961153,SOL/USD,1h,HOLD,89.48,37.1,90.63,91.56,91.79,0.76
2026-05-15T12:05:27.771658,BTC/USD,6h,HOLD,79236.55,43.05,80410.91,80047.28,76097.15,1148.06
2026-05-15T12:05:27.965666,SOL/USD,1h,HOLD,89.62,38.55,90.64,91.57,91.79,0.77
2026-05-15T12:10:32.358552,BTC/USD,6h,HOLD,79268.98,43.2,80414.0,80048.55,76097.47,1148.06
2026-05-15T12:10:32.572904,SOL/USD,1h,HOLD,89.71,39.45,90.65,91.57,91.79,0.78
2026-05-15T12:15:37.265787,BTC/USD,6h,HOLD,79240.03,43.07,80411.25,80047.42,76097.19,1148.06
2026-05-15T12:15:37.548886,SOL/USD,1h,HOLD,89.67,39.05,90.65,91.57,91.79,0.78
2026-05-15T12:20:41.909621,BTC/USD,6h,HOLD,79251.58,43.12,80412.35,80047.87,76097.3,1148.06
2026-05-15T12:20:42.090137,SOL/USD,1h,HOLD,89.63,38.65,90.64,91.57,91.79,0.78
2026-05-15T12:25:46.500515,BTC/USD,6h,HOLD,79322.58,43.46,80419.11,80050.65,76098.01,1148.06
2026-05-15T12:25:46.732698,SOL/USD,1h,HOLD,89.79,40.22,90.66,91.58,91.79,0.78
2026-05-15T12:30:51.215682,BTC/USD,6h,HOLD,79326.58,43.48,80419.49,80050.81,76098.05,1148.06
2026-05-15T12:30:51.664595,SOL/USD,1h,HOLD,89.75,39.84,90.65,91.57,91.79,0.78
2026-05-15T12:35:56.398390,BTC/USD,6h,HOLD,79426.07,43.97,80428.96,80054.71,76099.04,1148.06
2026-05-15T12:35:56.644261,SOL/USD,1h,HOLD,89.76,39.93,90.66,91.57,91.79,0.78
2026-05-15T12:41:01.289122,BTC/USD,6h,HOLD,79410.54,43.89,80427.48,80054.1,76098.88,1148.06
2026-05-15T12:41:01.506157,SOL/USD,1h,HOLD,89.76,39.93,90.66,91.57,91.79,0.78
2026-05-15T12:42:33.015110,BTC/USD,6h,HOLD,79359.19,43.64,80422.59,80052.09,76098.37,1148.06
2026-05-15T12:42:33.212813,SOL/USD,1h,HOLD,89.66,38.95,90.65,91.57,91.79,0.78
2026-05-15T12:46:06.704832,BTC/USD,6h,HOLD,79375.69,43.72,80424.17,80052.74,76098.54,1148.06
2026-05-15T12:46:06.945495,SOL/USD,1h,HOLD,89.69,39.25,90.65,91.57,91.79,0.78
2026-05-15T12:47:37.741208,BTC/USD,6h,HOLD,79345.64,43.57,80421.3,80051.56,76098.24,1148.06
2026-05-15T12:47:38.045218,SOL/USD,1h,HOLD,89.59,38.25,90.64,91.57,91.79,0.78
2026-05-15T12:51:11.705927,BTC/USD,6h,HOLD,79401.29,43.85,80426.6,80053.74,76098.79,1148.06
2026-05-15T12:51:11.965208,SOL/USD,1h,HOLD,89.66,38.95,90.65,91.57,91.79,0.78
2026-05-15T12:52:42.381487,BTC/USD,6h,HOLD,79353.89,43.61,80422.09,80051.88,76098.32,1148.06
2026-05-15T12:52:42.607953,SOL/USD,1h,HOLD,89.58,38.15,90.64,91.57,91.79,0.78
2026-05-15T12:56:16.676680,BTC/USD,6h,HOLD,79433.89,44.01,80429.71,80055.02,76099.12,1148.06
2026-05-15T12:56:16.874958,SOL/USD,1h,HOLD,89.73,39.64,90.65,91.57,91.79,0.78
2026-05-15T12:57:46.991657,BTC/USD,6h,HOLD,79391.42,43.8,80425.66,80053.35,76098.69,1148.06
2026-05-15T12:57:47.169948,SOL/USD,1h,HOLD,89.69,39.25,90.65,91.57,91.79,0.78
2026-05-15T13:01:21.545664,BTC/USD,6h,HOLD,79476.69,44.31,80338.17,80032.01,76180.93,1071.58
2026-05-15T13:01:21.823380,SOL/USD,1h,HOLD,89.92,41.53,90.59,91.51,91.78,0.74
2026-05-15T13:02:51.683379,BTC/USD,6h,HOLD,79505.17,44.5,80340.88,80033.12,76181.21,1073.33
2026-05-15T13:02:52.003903,SOL/USD,1h,HOLD,89.97,42.02,90.59,91.51,91.78,0.74
2026-05-15T13:06:26.115871,BTC/USD,6h,HOLD,79421.5,43.94,80332.91,80029.84,76180.38,1074.7
2026-05-15T13:06:26.343567,SOL/USD,1h,HOLD,89.84,40.73,90.58,91.51,91.78,0.75
2026-05-15T13:07:56.402217,BTC/USD,6h,HOLD,79430.13,44.0,80333.74,80030.18,76180.46,1075.53
2026-05-15T13:07:56.604979,SOL/USD,1h,HOLD,89.84,40.73,90.58,91.51,91.78,0.75
2026-05-15T13:11:31.473574,BTC/USD,6h,HOLD,79432.98,44.02,80334.01,80030.29,76180.49,1077.03
2026-05-15T13:11:31.818919,SOL/USD,1h,HOLD,89.88,41.14,90.58,91.51,91.78,0.75
2026-05-15T13:13:01.915070,BTC/USD,6h,HOLD,79490.15,44.4,80339.45,80032.54,76181.06,1077.03
